Vuosi,Paaluokka/Osasto,Luku,Momentti,Alkup.talousarvio,Lisätalousarvio,Voimassaoleva talousarvio,Käytettävissä,Nettokertymä ko.vuodelta,Nettokertymä,Jäljellä,,,
2018,Parliament,Members of Parliament,Operating expenses of members of parliament,21247000,0,21247000,21247000,21257846,95,21257846,95,-10846,95
2018,Parliament,Parliamentary Office,Operating expenses of the Parliamentary Office,53394000,0,53394000,53394000,51323322,14,51323322,14,2070677,86
2018,Parliament,Parliamentary Office,Operating expenses related to renovations,2482000,0,2482000,2482000,2212941,87,2212941,87,269058,13
2018,Parliament,Parliamentary Office,Expenses on value added taxes,6800000,0,6800000,6800000,6317508,29,6317508,29,482491,71
2018,Parliament,Parliamentary Office,Assistant aid to parliamentary groups,3531000,0,3531000,3531000,3563624,93,3563624,93,-32624,93
2018,Parliament,Parliamentary Office,IT management procurement and development projects,4000000,0,4000000,4000000,4000000,4000000,0,,,
2018,Parliament,Parliamentary Office,Renovations on parliamentary buildings,4000000,0,4000000,4000000,4000000,4000000,0,,,
2018,Parliament,Parliamentary Ombudsman,Operating expenses of the Office of the Parliamentary Ombudsman,6061000,0,6061000,6061000,6083070,15,6083070,15,-22070,15
2018,Parliament,Institute of International Affairs,Operating expenses of the Institute of International Affairs,3398000,0,3398000,3398000,3398000,3398000,0,,,
2018,Parliament,Institute of International Affairs,Expenses on value added taxes,220000,0,220000,220000,189692,43,189692,43,30307,57
2018,Parliament,National Audit Office,Operating expenses of the National Audit Office,14937000,0,14937000,14937000,14937000,14937000,0,,,
2018,Parliament,National Audit Office,Expenses on value added taxes,590000,0,590000,590000,510517,38,510517,38,79482,62
2018,Parliament,Other expenses of the Parliament,Support of the group offices of parliamentary groups,4083000,0,4083000,4083000,4081770,4081770,1230,,,
2018,President of the Republic,President of the Republic,Salary of the President of the Republic,126000,0,126000,126000,126000,126000,0,,,
2018,President of the Republic,President of the Republic,Operating expenses of the President of the Republic,199000,0,199000,199000,199000,199000,0,,,
2018,President of the Republic,President of the Republic,Expenses on foreign visits and conferences,2550000,0,2550000,2550000,1169519,25,1169519,25,1380480,75
2018,President of the Republic,Office of the President of the Republic,Operating expenses of the Office of the President of the Republic,8055000,45000,8100000,8100000,8100000,8100000,0,,,
2018,President of the Republic,Office of the President of the Republic,Expenses on retired presidents,600000,0,600000,600000,500000,500000,100000,,,
2018,President of the Republic,Office of the President of the Republic,Expenses on value added taxes,2500000,0,2500000,2500000,2223795,75,2223795,75,276204,25
2018,President of the Republic,Office of the President of the Republic,Renovations,5000000,0,5000000,5000000,5562621,14,5562621,14,-562621,14
2018,Prime Minister’s Office,Administration,Operating expenses of the Prime Minister’s Office,123297000,4359000,127656000,127656000,127656000,127656000,0,,,
2018,Prime Minister’s Office,Administration,Salaries of ministers and their special aides,6510000,0,6510000,6510000,6007752,32,6007752,32,502247,68
2018,Prime Minister’s Office,Administration,Salaries of national experts of the European Union,1000000,0,1000000,1000000,1000000,1000000,0,,,
2018,Prime Minister’s Office,Administration,Travel expenses of ministers and their aides,867000,0,867000,867000,867000,867000,0,,,
2018,Prime Minister’s Office,Administration,Research operations of the Prime Minister’s Office,11400000,0,11400000,11400000,11400000,11400000,0,,,
2018,Prime Minister’s Office,Administration,Finnish Presidency of the Council of the European Union,6800000,0,6800000,6800000,6800000,6800000,0,,,
2018,Prime Minister’s Office,Administration,Terveet tilat 2028-programme,0,500000,500000,500000,500000,500000,0,,,
2018,Prime Minister’s Office,Administration,Expenses on value added taxes,19457000,0,19457000,19457000,15037203,51,15037203,51,4419796,49
2018,Prime Minister’s Office,Ownership steering by the state,Stock acquisitions,5700000,0,5700000,5700000,5700000,5700000,0,,,
2018,Prime Minister’s Office,Support of political activities,Support of political parties,29635000,0,29635000,29635000,29635000,29635000,0,,,
2018,Prime Minister’s Office,Office of the Chancellor of Justice,Operating expenses of the Office of the Chancellor of Justice,3405000,31000,3436000,3436000,3436000,3436000,0,,,
2018,Prime Minister’s Office,Other expenses,Distinctions and honours,700000,0,700000,700000,648817,64,648817,64,51182,36
2018,Prime Minister’s Office,Other expenses,Finland 100,800000,0,800000,800000,800000,800000,0,,,
2018,Prime Minister’s Office,Other expenses,Membership fees and contributions to the European Center of Excellence for Countering Hybrid Threats,770000,0,770000,770000,770000,770000,0,,,
2018,Ministry for Foreign Affairs,Foreign affairs,Operating expenses of the Ministry of Foreign Affairs,219488000,3074000,222562000,222562000,222562000,222562000,0,,,
2018,Ministry for Foreign Affairs,Foreign affairs,Property expenses of scientific and cultural institutions,982000,0,982000,982000,982000,982000,0,,,
2018,Ministry for Foreign Affairs,Foreign affairs,Productivity development expenses,1155000,0,1155000,1155000,1155000,1155000,0,,,
2018,Ministry for Foreign Affairs,Foreign affairs,Expenses on value added taxes,16059000,0,16059000,16059000,11253886,61,11253886,61,4805113,39
2018,Ministry for Foreign Affairs,Foreign affairs,Building construction expenses,7470000,6050000,13520000,13520000,13520000,13520000,0,,,
2018,Ministry for Foreign Affairs,Crisis management,Upkeep expenses of Finnish crisis management forces,57999000,0,57999000,57999000,57999000,57999000,0,,,
2018,Ministry for Foreign Affairs,Crisis management,Civilian participation in crisis management,15360000,0,15360000,15360000,14854443,74,14854443,74,505556,26
2018,Ministry for Foreign Affairs,International aid,Actual international aid,550246000,13196000,563442000,563442000,563441227,563441227,773,,,
2018,Ministry for Foreign Affairs,International aid,Increase of capital of Finnfund (Teollisen yhteistyön rahasto Oy),10000000,0,10000000,10000000,10000000,10000000,0,,,
2018,Ministry for Foreign Affairs,International aid,Financial investments in development aid,130000000,0,130000000,130000000,130000000,130000000,0,,,
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,Certain governmental grants,1341000,0,1341000,1341000,1339280,1339280,1720,,,
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,Assistance of those in distress,45000,0,45000,45000,25910,58,25910,58,19089,42
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,Certain membership fees and contributions,90046000,-6115000,83931000,83931000,83931000,83931000,0,,,
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,Expenses on the Paris Agreement,100000,0,100000,100000,100000,100000,0,,,
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,"Cooperation on the Baltic sea, Barents sea and the arctic region",1800000,0,1800000,1800000,1800000,1800000,0,,,
2018,Ministry for Foreign Affairs,Other expenses of the Ministry of Foreign Affairs,Changes in currency exchange rates,1000000,0,1000000,1000000,2671518,87,2671518,87,-1671518,87
2018,Ministry of Justice,Ministry and administration,Operating expenses of the Ministry of Justice,19988000,242000,20230000,20230000,20230000,20230000,0,,,
2018,Ministry of Justice,Ministry and administration,Operating expenses of government agencies working under the Ministry of Justice,7961000,66000,8027000,8027000,8027000,8027000,0,,,
2018,Ministry of Justice,Ministry and administration,Operating expenses of the Legal Register Centre,9530000,46000,9576000,9576000,9576000,9576000,0,,,
2018,Ministry of Justice,Ministry and administration,Special expenses,12112000,0,12112000,12112000,11383493,96,11383493,96,728506,4
2018,Ministry of Justice,Ministry and administration,Productivity development expenses,115000,0,115000,115000,115000,115000,0,,,
2018,Ministry of Justice,Ministry and administration,Mainstreaming of office and communications systems,2590000,0,2590000,2590000,2590000,2590000,0,,,
2018,Ministry of Justice,Ministry and administration,Expenses on value added taxes,43902000,0,43902000,43902000,46740473,57,46740473,57,-2838473,57
2018,Ministry of Justice,Ministry and administration,Grants,8362000,30000,8392000,8392000,8332287,8332287,59713,,,
2018,Ministry of Justice,Ministry and administration,Certain indemnities paid by the government,19000000,0,19000000,19000000,17632304,84,17632304,84,1367695,16
2018,Ministry of Justice,Courts and legal aid,Operating expenses of the supreme court,8544000,123000,8667000,8667000,8667000,8667000,0,,,
2018,Ministry of Justice,Courts and legal aid,Operating expenses of the supreme administrative court,13447000,115000,13562000,13562000,13562000,13562000,0,,,
2018,Ministry of Justice,Courts and legal aid,Operating expenses of other courts,250075000,1948000,252023000,252023000,252023000,252023000,0,,,
2018,Ministry of Justice,Courts and legal aid,Operating expenses of legal aid and guardianship offices and the Consumer Disputes Board,65052000,557000,65609000,65609000,65609000,65609000,0,,,
2018,Ministry of Justice,Courts and legal aid,Fees paid to private legal assistants,76200000,3500000,79700000,79700000,78838600,11,78838600,11,861399,89
2018,Ministry of Justice,"Payment defaults, enforcement and bankruptcy monitoring",Operating expenses of the enforcement office and bankruptcy monitoring,100493000,829000,101322000,101322000,101322000,101322000,0,,,
2018,Ministry of Justice,Prosecutors,Operating expenses of the Finnish Prosecution Service,44192000,850000,45042000,45042000,45042000,45042000,0,,,
2018,Ministry of Justice,Implementation of sentences,Operating expenses of the Criminal Sanctions Agency,209798000,1314000,211112000,211112000,211112000,211112000,0,,,
2018,Ministry of Justice,Implementation of sentences,Open prisons,4700000,0,4700000,4700000,4700000,4700000,0,,,
2018,Ministry of Justice,Election expenses,Election expenses,45110000,-25845000,19265000,19265000,17573795,98,17573795,98,1691204,2
2018,Ministry of the Interior,Administration,Operating expenses of the Ministry of the Interior,13811000,163000,13974000,13974000,13974000,13974000,0,,,
2018,Ministry of the Interior,Administration,Domestic readiness for civilian crisis management,1739000,13000,1752000,1752000,1752000,1752000,0,,,
2018,Ministry of the Interior,Administration,IT management common expenses,8017000,0,8017000,8017000,8017000,8017000,0,,,
2018,Ministry of the Interior,Administration,EU contribution to domestic security and immigration control,22555000,-3680000,18875000,18875000,18875000,18875000,0,,,
2018,Ministry of the Interior,Administration,Expenses on value added taxes,100409000,0,100409000,100409000,108539456,22,108539456,22,-8130456,22
2018,Ministry of the Interior,Administration,Certain aids and grants,225000,0,225000,225000,225000,225000,0,,,
2018,Ministry of the Interior,Administration,Membership fees of international organizations and international contributions,1017000,0,1017000,1017000,781165,5,781165,5,235834,5
2018,Ministry of the Interior,Police,Operating expenses of the police,726152000,11917000,738069000,738069000,738069000,738069000,0,,,
2018,Ministry of the Interior,Police,Operating expenses of the Finnish Security Intelligence Service,33341000,1536000,34877000,34877000,34877000,34877000,0,,,
2018,Ministry of the Interior,Police,Transportation expenses on deportations,9168000,0,9168000,9168000,9168000,9168000,0,,,
2018,Ministry of the Interior,Police,Common expenses on the KEJO project,1000000,0,1000000,1000000,1000000,1000000,0,,,
2018,Ministry of the Interior,Border Guard,Operating expenses of the Border Guard,235292000,2830000,238122000,238122000,238122000,238122000,0,,,
2018,Ministry of the Interior,Border Guard,Procurement of aircraft and patrol vehicles,15500000,0,15500000,15500000,15500000,15500000,0,,,
2018,Ministry of the Interior,Rescue operations and emergency response centers,Operating expenses of rescue operations,15997000,1805000,17802000,17802000,17802000,17802000,0,,,
2018,Ministry of the Interior,Rescue operations and emergency response centers,Operating expenses of emergency response centers,49188000,667000,49855000,49855000,49855000,49855000,0,,,
2018,Ministry of the Interior,Rescue operations and emergency response centers,Special expenses,2406000,1700000,4106000,4106000,2953255,6,2953255,6,1152744,4
2018,Ministry of the Interior,Immigration,Operating expenses of the Immigration Service and reception centres,49395000,355000,49750000,49750000,49750000,49750000,0,,,
2018,Ministry of the Interior,Immigration,Reception of refugees and asylum seekers,137594000,6000000,143594000,143594000,136909117,41,136909117,41,6684882,59
2018,Ministry of the Interior,Immigration,Voluntary return,6800000,-3000000,3800000,3800000,3800000,3800000,0,,,
2018,Ministry of the Interior,Immigration,Benefits paid to customers of reception services,46584000,-6000000,40584000,40584000,35935394,54,35935394,54,4648605,46
2018,Ministry of Defence,Defence policy and administration,Operating expenses of the Ministry of Defence,14085000,198000,14283000,14283000,14283000,14283000,0,,,
2018,Ministry of Defence,Defence policy and administration,Productivity development expenses,2875000,0,2875000,2875000,2875000,2875000,0,,,
2018,Ministry of Defence,Defence policy and administration,Expenses on value added taxes,372017000,0,372017000,372017000,303595116,5,303595116,5,68421883,95
2018,Ministry of Defence,National defence,Operating expenses of the defence forces,1941231000,-2107000,1939124000,1939124000,1939124000,1939124000,0,,,
2018,Ministry of Defence,National defence,Procurement of defence materials,478100000,47742000,525842000,525842000,525842000,525842000,0,,,
2018,Ministry of Defence,National defence,Modifications of Hawk Mk 51 aircraft,4600000,0,4600000,4600000,4600000,4600000,0,,,
2018,Ministry of Defence,National defence,Support of activities of voluntary defence associations,2029000,0,2029000,2029000,2029000,2029000,0,,,
2018,Ministry of Defence,Military crisis management,Operating and equipment expenses of military crisis management,57024000,1357000,58381000,58381000,58381000,58381000,0,,,
2018,Ministry of Defence,Military crisis management,Changes in currency exchange rates,10000,20000,30000,30000,29052,85,29052,85,947,15
2018,Ministry of Finance,Administration,Operating expenses of the Ministry of Finance,30415000,1778000,32193000,32193000,32193000,32193000,0,,,
2018,Ministry of Finance,Administration,Implementation of the governmental strategy on properties and ownership steering by the Ministry of Finance,245000,0,245000,245000,245000,245000,0,,,
2018,Ministry of Finance,Administration,Expenses on value added taxes,124088000,0,124088000,124088000,125240811,67,125240811,67,-1152811,67
2018,Ministry of Finance,Administration,Transfer to the government of Greece of certain returns on investments by the Bank of Finland,13000000,16080000,29080000,29080000,0,0,29080000,,,
2018,Ministry of Finance,Taxation and customs,Operating expenses of the Tax Administration,368601000,9487000,378088000,378088000,378088000,378088000,0,,,
2018,Ministry of Finance,Taxation and customs,Operating expenses of the Customs,164518000,1088000,165606000,165606000,165606000,165606000,0,,,
2018,Ministry of Finance,Taxation and customs,Operating expenses of the National Incomes Register,1727000,0,1727000,1727000,1727000,1727000,0,,,
2018,Ministry of Finance,Taxation and customs,Tax returns,15900000,13000000,28900000,28900000,22025683,11,22025683,11,6874316,89
2018,Ministry of Finance,Taxation and customs,Interest expenses related to taxation,22700000,0,22700000,22700000,15292015,22,15292015,22,7407984,78
2018,Ministry of Finance,Taxation and customs,Return of car tax on exported vehicles,6000000,0,6000000,6000000,4157783,77,4157783,77,1842216,23
2018,Ministry of Finance,Governmental services,Operating expenses of the State Treasury,23721000,688000,24409000,24409000,24409000,24409000,0,,,
2018,Ministry of Finance,Governmental services,Currency exchange rate differences between centralized currency accounts,50000,0,50000,50000,258445,12,258445,12,-208445,12
2018,Ministry of Finance,Governmental services,Common services of administration and electronic services,110000,0,110000,110000,110000,110000,0,,,
2018,Ministry of Finance,Governmental services,Operating expenses of the The Finnish Government Shared Services Centre for Finance and HR,2000000,533000,2533000,2533000,2533000,2533000,0,,,
2018,Ministry of Finance,Governmental services,Operating expenses of the Government ICT Centre,3000000,436000,3436000,3436000,3436000,3436000,0,,,
2018,Ministry of Finance,Governmental services,Investment expenses of the Government ICT Centre,10000000,0,10000000,10000000,10000000,10000000,0,,,
2018,Ministry of Finance,"Statistics, economic research and registry administration",Operating expenses of Statistics Finland,47299000,873000,48172000,48172000,48172000,48172000,0,,,
2018,Ministry of Finance,"Statistics, economic research and registry administration",Operating expenses of Vatt Institute for Economic Research,3412000,244000,3656000,3656000,3656000,3656000,0,,,
2018,Ministry of Finance,"Statistics, economic research and registry administration",Operating expenses of the Population Register Center,33469000,252000,33721000,33721000,33721000,33721000,0,,,
2018,Ministry of Finance,Governmental regional and local administration,Operating expenses of Regional State Administrative Agencies,50402000,444000,50846000,50846000,50846000,50846000,0,,,
2018,Ministry of Finance,Governmental regional and local administration,Operating expenses of registry offices,27899000,338000,28237000,28237000,28237000,28237000,0,,,
2018,Ministry of Finance,Governmental regional and local administration,Aid expenses of regional and local administration,2482000,0,2482000,2482000,2482000,2482000,0,,,
2018,Ministry of Finance,Pensions and indemnities,Pensions,4673697000,0,4673697000,4673697000,4657183371,75,4657183371,75,16513628,25
2018,Ministry of Finance,Pensions and indemnities,Additional pensions,2050000,0,2050000,2050000,1324671,28,1324671,28,725328,72
2018,Ministry of Finance,Pensions and indemnities,Other pension expenses,2643000,0,2643000,2643000,504423,68,504423,68,2138576,32
2018,Ministry of Finance,Pensions and indemnities,Damages,40500000,0,40500000,40500000,36554342,77,36554342,77,3945657,23
2018,Ministry of Finance,Pensions and indemnities,Pension expenses belonging to other pension institutions,217200000,0,217200000,217200000,216324634,5,216324634,5,875365,95
2018,Ministry of Finance,Pensions and indemnities,Interest expenses on advances and pension expenses paid for by other pension institutions on behalf of the government,17497000,0,17497000,17497000,15790916,36,15790916,36,1706083,64
2018,Ministry of Finance,Common governmental staff expenses,Separately budgeted salary expenses,30000,0,30000,30000,12612,72,12612,72,17387,28
2018,Ministry of Finance,Common governmental staff expenses,Promotion of occupational safety,850000,0,850000,850000,850000,850000,0,,,
2018,Ministry of Finance,Common governmental staff expenses,Development of expertise,15000000,1500000,16500000,16500000,11765900,83,11765900,83,4734099,17
2018,Ministry of Finance,Development of governmental administration,Management and development of public administration ICT,4125000,1176000,5301000,5301000,5301000,5301000,0,,,
2018,Ministry of Finance,Development of governmental administration,"Information systems of the government financial, personnel and offices administration",5000000,0,5000000,5000000,5000000,5000000,0,,,
2018,Ministry of Finance,Development of governmental administration,"Support and control of the preparation and implementation of the provincial, social and healthcare reform",180070000,18900000,198970000,198970000,198970000,198970000,0,,,
2018,Ministry of Finance,Development of governmental administration,Productivity development expenses,23268000,-8377000,14891000,14891000,8726000,8726000,6165000,,,
2018,Ministry of Finance,Development of governmental administration,Implementation of the National Incomes Register,15663000,0,15663000,15663000,15663000,15663000,0,,,
2018,Ministry of Finance,Development of governmental administration,Support of digitalization of administrative services,4176000,4074000,8250000,8250000,8250000,8250000,0,,,
2018,Ministry of Finance,Development of governmental administration,Communications networks of security authorities,8100000,0,8100000,8100000,8100000,8100000,0,,,
2018,Ministry of Finance,Transfers to the Autonomous Region of Åland,Support of the autonomous government of Åland,237302000,9520000,246822000,246822000,244648861,86,244648861,86,2173138,14
2018,Ministry of Finance,Transfers to the Autonomous Region of Åland,Tax refunds to Åland,15000000,200000,15200000,15200000,15196476,15196476,3524,,,
2018,Ministry of Finance,Transfers to the Autonomous Region of Åland,"Return of proceeds from taxation of lotteries, competitions and games to Åland",13000000,-586000,12414000,12414000,12413124,9,12413124,9,875,91
2018,Ministry of Finance,Municipal support,Development of common digital infrastructure and information management in the public sector,2475000,3600000,6075000,6075000,6075000,6075000,0,,,
2018,Ministry of Finance,Municipal support,Development and support of administrative and service structures,200000,0,200000,200000,200000,200000,0,,,
2018,Ministry of Finance,Municipal support,State subsidy to municipalities for organizing basic services,8576670000,0,8576670000,8576670000,8575483792,8575483792,1186208,,,
2018,Ministry of Finance,Municipal support,Economic support for fusion of municipalities,7990000,0,7990000,7990000,7500253,7500253,489747,,,
2018,Ministry of Finance,Support of employment and industry,Energy tax aid,261000000,23000000,284000000,284000000,272634093,64,272634093,64,11365906,36
2018,Ministry of Finance,EU and international organizations,Operating expenses of the Financial Stability Authority,2947000,0,2947000,2947000,2947000,2947000,0,,,
2018,Ministry of Finance,EU and international organizations,Participation of the European Union in compensation of travel expenses,1500000,0,1500000,1500000,1500000,1500000,0,,,
2018,Ministry of Finance,EU and international organizations,Host compensation to the Nordic Investment Bank,11550000,0,11550000,11550000,11544550,93,11544550,93,5449,7
2018,Ministry of Finance,EU and international organizations,Transfer to the Financial Stability Fund,18493000,0,18493000,18493000,18493000,18493000,0,,,
2018,Ministry of Finance,EU and international organizations,Redemption of commitments to international financial institutions,170000,0,170000,170000,0,0,170000,,,
2018,Ministry of Finance,EU and international organizations,Payments to the European Union,1881000000,0,1881000000,1881000000,1881000000,1881000000,0,,,
2018,Ministry of Finance,EU and international organizations,Finland’s contribution to the Asian Infrastructure Investment Bank’s capital,11610000,0,11610000,11610000,10330217,8,10330217,8,1279782,92
2018,Ministry of Finance,Separately budgeted governmental expenses,Incidental expenses based on statutes,300000,0,300000,300000,175524,11,175524,11,124475,89
2018,Ministry of Finance,Separately budgeted governmental expenses,Unpredicted expenses,5000000,0,5000000,5000000,5000000,5000000,0,,,
2018,Ministry of Finance,Separately budgeted governmental expenses,Securing outstanding receivables of the government,150000,200000,350000,350000,199742,29,199742,29,150257,71
2018,Ministry of Finance,Separately budgeted governmental expenses,Investment risk management,12400000,0,12400000,12400000,11550236,76,11550236,76,849763,24
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Operating expenses of the Ministry of Education and Culture,17672000,105000,17777000,17777000,17777000,17777000,0,,,
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Operating expenses of the Finnish National Agency for Education,58458000,10266000,68724000,68724000,68724000,68724000,0,,,
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Operating expenses of the Centre for International Mobility,7453000,36000,7489000,7489000,7489000,7489000,0,,,
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",International cooperation,3058000,300000,3358000,3358000,3358000,3358000,0,,,
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Expenses on value added taxes,28601000,0,28601000,28601000,30916733,18,30916733,18,-2315733,18
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Certain grants,1537000,0,1537000,1537000,1535549,1535549,1451,,,
2018,Ministry of Education and Culture,"Administration, church affairs and common expenses",Grants for ecclesiastical and religious activities,3313000,0,3313000,3313000,3309900,3309900,3100,,,
